throw_Distance,Rope_elasticity,Pulling_level,catapult_weight,catapult_Height,Throw_angle
136.5,2,36,47,42,42
136.5,2,36,47,42,40.5
148.2,3,34,46,42,43.5
139.1,2,40,47,34,39
121.55,1,44,52,34,38
117.65,NA,39,47,31,37.5
92.95,1,44,56,35,37
158.6,3,36,44,40,39
148.2,3,36,46,42,39.5
124.8,2,37,48,42,38
115.7,2,37,48,42,38
106.6,1,41,52,34,34.5
112.45,1,41,52,34,36.5
98.8,1,41,52,34,36
67.6,1,49,54,32,29
67.6,1,48,54,33,28
95.55,1,48,55,35,28.5
210.6,3,33,44,44,44
197.6,3,33,43,52,47
220.35,3,33,44,45,46
139.75,3,35,46,40,42.5
100.75,1,NA,50,31,37.5
98.8,1,42,50,34,38
86.45,1,44,56,40,36
124.8,1,46,52,34,36
177.45,3,33,44,44,45.5
169,3,35,46,47,44.5
197.6,3,34,48,41,47.5
102.7,1,44,58,45,39
128.05,2,36,52,39,41
97.5,1,42,62,38,37
139.1,3,35,47,44,41
137.5,2,36.4,42.5,42,42.5
137.5,2,36.4,42.5,42,41
149.2,3,34.4,42.5,42,44
140.1,2,40.4,34.5,34,39.5
122.55,1,44.4,34.5,34,38.5
118.65,2,39.4,31.5,31,38
93.95,NA,44.4,35.5,35,37.5
159.6,3,36.4,40.5,40,39.5
149.2,3,36.4,42.5,42,40
125.8,2,37.4,42.5,42,38.5
116.7,2,37.4,42.5,42,38.5
NA,1,41.4,34.5,34,35
113.45,1,41.4,34.5,34,37
99.8,1,41.4,34.5,34,36.5
68.6,1,49.4,32.5,32,29.5
68.6,1,48.4,33.5,33,28.5
96.55,1,48.4,35.5,35,29
211.6,3,33.4,44.5,44,44.5
198.6,3,33.4,NA,NA,47.5
221.35,3,33.4,45.5,45,46.5
140.75,3,35.4,40.5,40,43
101.75,1,43.4,31.5,31,38
99.8,1,42.4,34.5,34,38.5
87.45,1,44.4,40.5,40,36.5
125.8,1,46.4,34.5,34,36.5
178.45,3,33.4,44.5,44,46
170,3,35.4,47.5,47,45
198.6,3,34.4,41.5,41,48
103.7,1,44.4,45.5,45,39.5
129.05,2,36.4,39.5,39,41.5
98.5,1,42.4,38.5,38,37.5
140.1,3,35.4,44.5,44,41.5
NA,2,35.5,46.7,41,41.5
135.5,2,35.5,46.7,41,40
147.2,3,33.5,45.7,41,43
138.1,2,39.5,46.7,33,38.5
120.55,1,43.5,51.7,33,37.5
116.65,2,38.5,46.7,30,37
91.95,1,43.5,55.7,34,36.5
157.6,3,35.5,43.7,39,38.5
147.2,NA,35.5,45.7,41,39
123.8,2,36.5,47.7,41,37.5
114.7,2,36.5,47.7,41,37.5
105.6,1,40.5,51.7,33,34
111.45,1,40.5,51.7,33,36
97.8,1,40.5,51.7,33,35.5
66.6,1,48.5,53.7,31,28.5
66.6,1,47.5,53.7,32,27.5
94.55,1,47.5,54.7,34,28
209.6,3,32.5,43.7,43,43.5
196.6,3,32.5,42.7,51,46.5
219.35,3,32.5,43.7,44,45.5
138.75,3,34.5,45.7,39,42
99.75,1,42.5,49.7,30,37
97.8,1,41.5,49.7,33,37.5
85.45,1,43.5,55.7,39,NA
123.8,1,45.5,51.7,33,35.5
176.45,3,32.5,43.7,43,45
168,3,34.5,45.7,46,44
196.6,3,33.5,47.7,40,47
101.7,1,43.5,57.7,44,38.5
127.05,2,35.5,51.7,38,40.5
96.5,1,41.5,61.7,37,36.5
138.1,3,34.5,46.7,43,40.5
134,2,36.1,45,40,41.5
134,2,36.1,45,40,40
145.7,3,34.1,44,40,43
136.6,2,40.1,45,32,38.5
119.05,1,44.1,50,32,37.5
115.15,2,39.1,45,29,37
90.45,1,44.1,54,33,36.5
156.1,3,36.1,42,38,38.5
145.7,3,36.1,44,40,39
122.3,2,37.1,46,40,37.5
113.2,2,37.1,46,40,37.5
104.1,1,41.1,50,32,34
109.95,1,41.1,50,32,36
96.3,1,41.1,50,32,35.5
65.1,1,49.1,52,30,28.5
65.1,1,48.1,52,31,27.5
93.05,1,48.1,53,33,28
208.1,3,33.1,42,42,43.5
195.1,3,33.1,41,50,46.5
217.85,3,33.1,42,43,45.5
137.25,3,35.1,44,38,42
98.25,1,43.1,48,29,37
96.3,1,42.1,48,32,37.5
83.95,1,44.1,54,38,35.5
122.3,1,46.1,50,32,35.5
174.95,3,33.1,42,42,45
166.5,3,35.1,44,45,44
195.1,3,34.1,46,39,47
100.2,1,44.1,56,43,38.5
125.55,2,36.1,50,37,40.5
95,1,42.1,60,36,36.5
136.6,3,35.1,45,42,40.5
135,2,36.5,40.5,40,42
135,2,36.5,40.5,40,40.5
146.7,3,34.5,40.5,40,43.5
137.6,2,40.5,32.5,32,39
120.05,1,44.5,32.5,32,38
116.15,2,39.5,29.5,29,37.5
91.45,1,44.5,33.5,33,37
157.1,3,36.5,38.5,38,39
146.7,3,36.5,40.5,40,39.5
123.3,2,37.5,40.5,40,38
114.2,2,37.5,40.5,40,38
