"","Firing_range","Torsion_powered","Launch_angle"
"1",42.85,44.2,36.8
"2",46.3,42.1,37.5
"3",160.5,33.2,43.8
"4",46.95,47.8,28.3
"5",72.45,44.6,38.3
"6",39.95,44.5,37
"7",77.4,37.3,38.7
"8",131.05,33.7,46.7
"9",63.2,37.1,37.5
"10",18.6,49.4,29.5
"11",88,34.7,40.3
"12",NA,40.6,35
"13",NA,36.8,38.2
"14",85.5,35.5,40
"15",74.55,35.6,40
"16",93.35,35.7,43.7
"17",69.2,NA,39
"18",19.1,47.6,28
"19",50.3,41.6,38
"20",123.85,32.8,44.3
"21",69.05,38.8,37.3
"22",46.4,41.7,36.3
"23",51,42.5,38
"24",55.7,40.7,34.2
"25",168.95,33.7,46.2
"26",93.25,35.5,43.5
"27",66.15,39.5,37.5
"28",54.1,43.8,38.8
"29",51.2,41.3,36.3
"30",151.1,34.5,48.5
"31",98.3,36.2,39.7
"32",117.6,35.7,44.7
"33",164.2,33.7,45.2
"34",73.9,45.7,35.7
"35",49.65,42.7,36.8
"36",112.2,36.7,40.2
"37",64.6,36.7,37.3
"38",147.7,34.2,47.7
"39",92.5,40.7,39.8
"40",107.7,35.7,38.7
"41",48.9,41.8,36.8
"42",99.8,33.8,43.7
"43",33.95,44.1,35.5
"44",71.4,36.8,37.2
"45",16.5,47.7,27.3
"46",15.1,48.1,27.5
"47",17.5,49.2,28.8
"48",62.3,36.8,37.2
"49",99.2,36.4,40
"50",44.05,44.6,37.7
"51",62.2,36.6,37
"52",46.3,41.1,35.5
"53",81.55,36.5,42
"54",89.1,36.3,42.7
"55",37.55,44.6,36.7
"56",100.6,34.3,43.8
"57",78.3,37.5,39
"58",59.2,41.3,35.2
"59",81.65,36.7,42.2
"60",83.1,35.8,41.2
"61",86.6,35.1,40.5
"62",85.6,39.6,38
"63",85.5,34.8,39.8
"64",78.15,36.2,41.2
"65",146.6,33.5,47
"66",46.45,44.5,38
"67",66.05,39.7,37.3
"68",77.3,37.1,38.5
"69",90.5,39.8,38.8
"70",69.1,37.7,38.8
"71",92.7,40.7,40.2
"72",47.9,40.7,35.7
"73",21.1,48.5,29
"74",101.7,36.5,40.5
"75",16.1,48.5,28
